sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,pred,correct,proba_0,proba_1,proba_2,z_0,z_1,z_2,exp_neg_z_0,exp_neg_z_1,exp_neg_z_2,proba_0_str,proba_1_str,proba_2_str,z_0_str,z_1_str,z_2_str,exp_neg_z_0_str,exp_neg_z_1_str,exp_neg_z_2_str
5.1,3.5,1.4,0.2,0,0,TRUE,0.981688967,0.018311019,1.44E-08,7.338803654,3.357032121,-10.69583578,0.000649827,0.034838502,44171.53143,'0.9816889669,'0.0183110187,'0.0000000144,'7.3388036542,'3.3570321210,'-10.6958357752,'0.0006498275,'0.0348385021,'44171.5314263482
4.9,3,1.4,0.2,0,0,TRUE,0.971557277,0.028442693,3.02E-08,6.939318366,3.40830942,-10.34762779,0.00096893,0.033097106,31182.98231,'0.9715572772,'0.0284426927,'0.0000000302,'6.9393183658,'3.4083094203,'-10.3476277862,'0.0009689298,'0.0330971064,'31182.9823084623
4.7,3.2,1.3,0.2,0,0,TRUE,0.985360132,0.014639855,1.23E-08,7.468576652,3.259317098,-10.72789375,0.00057074,0.038414622,45610.52365,'0.9853601322,'0.0146398555,'0.0000000123,'7.4685766524,'3.2593170983,'-10.7278937507,'0.0005707401,'0.0384146225,'45610.5236532490
4.6,3.1,1.5,0.2,0,0,TRUE,0.976172122,0.023827838,3.97E-08,6.909994284,3.197209928,-10.10720421,0.000997763,0.040876092,24519.01487,'0.9761721221,'0.0238278382,'0.0000000397,'6.9099942844,'3.1972099282,'-10.1072042126,'0.0009977635,'0.0408760923,'24519.0148686670
5,3.6,1.4,0.2,0,0,TRUE,0.985299318,0.01470067,1.20E-08,7.477465268,3.272412853,-10.74987812,0.000565689,0.037914834,46624.34557,'0.9852993182,'0.0147006698,'0.0000000120,'7.4774652675,'3.2724128533,'-10.7498781208,'0.0005656895,'0.0379148337,'46624.3455706072
5.4,3.9,1.7,0.4,0,0,TRUE,0.970289605,0.029710322,7.36E-08,6.626920952,3.140820888,-9.76774184,0.001324234,0.043247282,17461.29228,'0.9702896045,'0.0297103219,'0.0000000736,'6.6269209523,'3.1408208882,'-9.7677418405,'0.0013242342,'0.0432472821,'17461.2922816873
4.6,3.4,1.4,0.3,0,0,TRUE,0.986809706,0.013190274,2.00E-08,7.343539538,3.028542075,-10.37208161,0.000646757,0.04838613,31954.92556,'0.9868097058,'0.0131902742,'0.0000000200,'7.3435395380,'3.0285420747,'-10.3720816126,'0.0006467572,'0.0483861301,'31954.9255624775
5,3.4,1.5,0.2,0,0,TRUE,0.97626965,0.023730322,2.77E-08,7.032156346,3.315171164,-10.34732751,0.000883026,0.03632783,31173.62022,'0.9762696502,'0.0237303222,'0.0000000277,'7.0321563461,'3.3151711642,'-10.3473275103,'0.0008830256,'0.0363278300,'31173.6202176618
4.4,2.9,1.4,0.2,0,0,TRUE,0.979732812,0.020267157,3.07E-08,7.052504848,3.174226655,-10.2267315,0.000865239,0.041826438,27632.04704,'0.9797328122,'0.0202671571,'0.0000000307,'7.0525048481,'3.1742266546,'-10.2267315027,'0.0008652389,'0.0418264379,'27632.0470387924
4.9,3.1,1.5,0.1,0,0,TRUE,0.96897819,0.031021779,3.17E-08,6.892520835,3.450968225,-10.34348906,0.001015351,0.031714914,31054.1912,'0.9689781897,'0.0310217786,'0.0000000317,'6.8925208351,'3.4509682255,'-10.3434890606,'0.0010153511,'0.0317149143,'31054.1912016949
