DEGC1PV,DEGC2PV,DEGC3PV,DEGC4PV,DEGC5PV,DEGC6PV,DEGC1SV,DEGC2SV,DEGC3SV,DEGC4SV,DEGC5SV,DEGC6SV,NM3/H.1PV,NM3/H.2PV,NM3/H.3PV,NM3/H.4PV,NM3/H.5PV,NM3/H.6PV,NM3/H.1SV,NM3/H.2SV,NM3/H.3SV,NM3/H.4SV,NM3/H.5SV,NM3/H.6SV,TEMP,FC1,FC2,FC3,FC4,FC5,FC6,mmH2O
1022,1053.6,1240.2,1217,1165.3,1185.6,1005,1070,1220,1200,1160,1230,3555,3866,3613,13192,1369,6554,3535,3811,2931,13091,1370,6548,541.2,17.1,14.5,18,34.5,4.3,53.6,501
1019.2,1009,1215.5,1190.7,1133.6,1156.2,1005,1070,1210,1200,1145,1130,3265,3971,4861,13877,2298,6481,3333,4169,4759,13993,2299,6548,505.2,13.7,15.8,20.3,35.2,13.2,48.2,618
725.9,710.3,802.1,796.5,853.8,775.3,1050.2,1070,1200,1180,1120,1100,2340,2892,2493,4195,1903,3780,2303,2897,2484,4224,1900,3778,419.1,10,9.3,9.8,15,8.2,30.4,500
980.1,1032.2,1215.5,1189,1136.4,1161,1005,1070,1220,1210,1140,1245,3613,4333,4003,14890,2174,6585,3494,4133,3976,14645,2164,6465,529.1,15.7,14.9,18,36.4,12.7,49,605
1042.2,1023.1,1237,1183.7,1153.2,1103.4,1005,1070,1210,1200,1140,1130,1651,2026,1956,6050,1219,4624,1605,1785,1579,6101,988,4624,549.8,8.8,7,15,20,3,40.4,501
988.8,1050.7,1221,1206.7,1142.5,1166.5,1005,1070,1220,1210,1140,1245,3552,4045,4459,13117,1677,6537,3535,4169,4345,13295,1677,6548,544.5,17.1,17.4,18.9,35.8,7.5,49.9,597
1009,1031.4,1220.2,1210.5,1150.2,1122.3,1005,1070,1215,1205,1150,1245,2550,2966,2856,8759,1916,4905,2495,2943,2880,8654,1916,4911,557.7,11.9,10.3,17.9,23.7,10.9,40.6,599
1025.7,1015.5,1223.9,1207.6,1157.3,1152.3,1005,1070,1210,1200,1145,1130,2019,2664,2139,6927,1541,4719,1897,2385,1711,6523,1472,4542,513.7,9.4,8.4,15,18.1,3,32.8,622
497.6,461.8,622.2,642.1,541.4,522.3,1005,1070,1210,1210,1140,1245,2369,2663,3529,4926,2407,1873,2200,2300,2239,2562,1298,1400,334.3,8,7.6,15,15,10,6,599
561.7,559.2,645.4,620.1,618.6,609,1005,1070,1210,1210,1140,1245,2323,2446,3081,4389,2114,1648,2200,2300,2239,2562,1298,1400,470.3,8,7.6,15,15,10,6,600
